id,category,question,answer,keywords
1,Registration,How do I register as a new patient?,Visit the Registration counter on the Ground Floor with a valid ID proof and address proof. A staff member will create your patient file and issue a Patient ID card.,registration
2,Billing,How can I get an itemized bill?,"Submit an itemized bill request at the Billing counter (Ground Floor, Main Building) with your admission ID. Itemized bills are typically ready within 24 hours.",billing
3,Insurance,Which insurance providers are accepted?,Most major insurance providers are accepted through cashless and reimbursement claims. Please check with the Insurance Desk with your policy card for specific coverage.,insurance
4,Admission,What is required for hospital admission?,"Bring your ID proof, insurance card (if applicable), and pay the admission deposit at the Admission counter. A bed will be allotted based on availability and doctor's advice.",admission
5,Laboratory,Where is the laboratory located?,The Laboratory is on the Ground Floor of the Diagnostics Building. Bring your doctor's test prescription and Patient ID card.,laboratory
6,Pharmacy,Where can I collect my medicines?,"The Pharmacy is located on the Ground Floor of the Main Building, next to the OPD waiting area. Submit your doctor's prescription at the counter.",pharmacy
7,Emergency,What should I do in a medical emergency?,"Go directly to the Emergency Department (Ground Floor, Emergency Block, red signage) or alert any staff member immediately. Emergency care is available 24x7.",emergency
8,General,What are the hospital's visiting hours?,General visiting hours are 11:00-13:00 and 17:00-19:00 daily. ICU visiting is restricted to immediate family with staff permission.,general
9,General,Is parking available?,"Yes, multi-level parking is available near the Main Building entrance, with a dedicated drop-off zone for Emergency and elderly patients.",general
10,Discharge,How does the discharge process work?,"Your doctor issues a discharge summary, the Billing counter settles the final bill, and the nursing station completes discharge formalities before you leave the ward.",discharge
11,Registration,How do I register as a new patient?,Visit the Registration counter on the Ground Floor with a valid ID proof and address proof. A staff member will create your patient file and issue a Patient ID card.,registration
12,Billing,How can I get an itemized bill?,"Submit an itemized bill request at the Billing counter (Ground Floor, Main Building) with your admission ID. Itemized bills are typically ready within 24 hours.",billing
13,Insurance,Which insurance providers are accepted?,Most major insurance providers are accepted through cashless and reimbursement claims. Please check with the Insurance Desk with your policy card for specific coverage.,insurance
14,Admission,What is required for hospital admission?,"Bring your ID proof, insurance card (if applicable), and pay the admission deposit at the Admission counter. A bed will be allotted based on availability and doctor's advice.",admission
