id,name,department_id,description,fee,location
1,OPD Consultation,3,OPD Consultation provided by the Orthopedics department.,550,"Main Building, Floor 2"
2,General Checkup,15,General Checkup provided by the Nephrology department.,400,"Main Building, Floor 3"
3,Follow-up Consultation,17,Follow-up Consultation provided by the Emergency department.,400,"Main Building, Floor 0"
4,Blood Test - CBC,4,Blood Test - CBC provided by the Neurology department.,400,"Main Building, Floor 4"
5,Blood Test - Lipid Profile,17,Blood Test - Lipid Profile provided by the Emergency department.,600,"Main Building, Floor 0"
6,X-Ray,20,X-Ray provided by the Pharmacy department.,450,"Main Building, Floor 0"
7,CT Scan,17,CT Scan provided by the Emergency department.,4500,"Main Building, Floor 0"
8,MRI Scan,15,MRI Scan provided by the Nephrology department.,7450,"Main Building, Floor 3"
9,Ultrasound,2,Ultrasound provided by the Cardiology department.,1250,"Main Building, Floor 3"
10,ECG,13,ECG provided by the Dentistry department.,450,"Main Building, Floor 0"
11,Echocardiogram,4,Echocardiogram provided by the Neurology department.,2050,"Main Building, Floor 4"
12,Physiotherapy Session,15,Physiotherapy Session provided by the Nephrology department.,650,"Main Building, Floor 3"
13,Minor Procedure,3,Minor Procedure provided by the Orthopedics department.,2500,"Main Building, Floor 2"
14,Vaccination,20,Vaccination provided by the Pharmacy department.,800,"Main Building, Floor 0"
15,Health Package - Basic,3,Health Package - Basic provided by the Orthopedics department.,2500,"Main Building, Floor 2"
16,Health Package - Executive,9,Health Package - Executive provided by the Gynecology department.,6100,"Main Building, Floor 2"
17,Dialysis Session,19,Dialysis Session provided by the Laboratory department.,3100,"Diagnostics Building, Floor 0"
18,Endoscopy,11,Endoscopy provided by the ENT department.,3550,"Main Building, Floor 1"
19,Biopsy,20,Biopsy provided by the Pharmacy department.,5100,"Main Building, Floor 0"
20,Dental Cleaning,10,Dental Cleaning provided by the Dermatology department.,1050,"Main Building, Floor 1"
21,Eye Test,17,Eye Test provided by the Emergency department.,400,"Main Building, Floor 0"
22,Hearing Test,14,Hearing Test provided by the Psychiatry department.,450,"Main Building, Floor 4"
23,Pregnancy Ultrasound,4,Pregnancy Ultrasound provided by the Neurology department.,1600,"Main Building, Floor 4"
24,Chemotherapy Session,7,Chemotherapy Session provided by the Oncology department.,15050,"Cancer Care Building, Floor 5"
25,Emergency Consultation,15,Emergency Consultation provided by the Nephrology department.,1000,"Main Building, Floor 3"
26,OPD Consultation,14,OPD Consultation provided by the Psychiatry department.,500,"Main Building, Floor 4"
27,General Checkup,15,General Checkup provided by the Nephrology department.,450,"Main Building, Floor 3"
28,Follow-up Consultation,14,Follow-up Consultation provided by the Psychiatry department.,250,"Main Building, Floor 4"
29,Blood Test - CBC,11,Blood Test - CBC provided by the ENT department.,400,"Main Building, Floor 1"
30,Blood Test - Lipid Profile,11,Blood Test - Lipid Profile provided by the ENT department.,600,"Main Building, Floor 1"
31,X-Ray,12,X-Ray provided by the Ophthalmology department.,500,"Main Building, Floor 1"
32,CT Scan,16,CT Scan provided by the Urology department.,4450,"Main Building, Floor 3"
33,MRI Scan,3,MRI Scan provided by the Orthopedics department.,7450,"Main Building, Floor 2"
34,Ultrasound,3,Ultrasound provided by the Orthopedics department.,1250,"Main Building, Floor 2"
35,ECG,4,ECG provided by the Neurology department.,400,"Main Building, Floor 4"
36,Echocardiogram,5,Echocardiogram provided by the Gastroenterology department.,2100,"Main Building, Floor 2"
37,Physiotherapy Session,2,Physiotherapy Session provided by the Cardiology department.,800,"Main Building, Floor 3"
38,Minor Procedure,18,Minor Procedure provided by the Radiology & Imaging department.,2600,"Diagnostics Building, Floor 0"
39,Vaccination,11,Vaccination provided by the ENT department.,750,"Main Building, Floor 1"
40,Health Package - Basic,14,Health Package - Basic provided by the Psychiatry department.,2500,"Main Building, Floor 4"
41,Health Package - Executive,14,Health Package - Executive provided by the Psychiatry department.,5950,"Main Building, Floor 4"
42,Dialysis Session,10,Dialysis Session provided by the Dermatology department.,3100,"Main Building, Floor 1"
43,Endoscopy,10,Endoscopy provided by the Dermatology department.,3500,"Main Building, Floor 1"
44,Biopsy,4,Biopsy provided by the Neurology department.,5100,"Main Building, Floor 4"
45,Dental Cleaning,17,Dental Cleaning provided by the Emergency department.,1000,"Main Building, Floor 0"
46,Eye Test,5,Eye Test provided by the Gastroenterology department.,350,"Main Building, Floor 2"
47,Hearing Test,8,Hearing Test provided by the Pediatrics department.,450,"Main Building, Floor 1"
48,Pregnancy Ultrasound,12,Pregnancy Ultrasound provided by the Ophthalmology department.,1600,"Main Building, Floor 1"
49,Chemotherapy Session,12,Chemotherapy Session provided by the Ophthalmology department.,14950,"Main Building, Floor 1"
50,Emergency Consultation,9,Emergency Consultation provided by the Gynecology department.,1100,"Main Building, Floor 2"
51,OPD Consultation,8,OPD Consultation provided by the Pediatrics department.,550,"Main Building, Floor 1"
52,General Checkup,18,General Checkup provided by the Radiology & Imaging department.,500,"Diagnostics Building, Floor 0"
53,Follow-up Consultation,20,Follow-up Consultation provided by the Pharmacy department.,400,"Main Building, Floor 0"
54,Blood Test - CBC,1,Blood Test - CBC provided by the General Medicine department.,450,"Main Building, Floor 1"
55,Blood Test - Lipid Profile,9,Blood Test - Lipid Profile provided by the Gynecology department.,550,"Main Building, Floor 2"
56,X-Ray,6,X-Ray provided by the Pulmonology department.,500,"Main Building, Floor 3"
57,CT Scan,10,CT Scan provided by the Dermatology department.,4500,"Main Building, Floor 1"
58,MRI Scan,12,MRI Scan provided by the Ophthalmology department.,7450,"Main Building, Floor 1"
59,Ultrasound,6,Ultrasound provided by the Pulmonology department.,1200,"Main Building, Floor 3"
60,ECG,19,ECG provided by the Laboratory department.,450,"Diagnostics Building, Floor 0"
61,Echocardiogram,3,Echocardiogram provided by the Orthopedics department.,2000,"Main Building, Floor 2"
62,Physiotherapy Session,1,Physiotherapy Session provided by the General Medicine department.,650,"Main Building, Floor 1"
63,Minor Procedure,17,Minor Procedure provided by the Emergency department.,2500,"Main Building, Floor 0"
64,Vaccination,13,Vaccination provided by the Dentistry department.,850,"Main Building, Floor 0"
65,Health Package - Basic,15,Health Package - Basic provided by the Nephrology department.,2500,"Main Building, Floor 3"
66,Health Package - Executive,6,Health Package - Executive provided by the Pulmonology department.,6000,"Main Building, Floor 3"
67,Dialysis Session,10,Dialysis Session provided by the Dermatology department.,3000,"Main Building, Floor 1"
68,Endoscopy,19,Endoscopy provided by the Laboratory department.,3600,"Diagnostics Building, Floor 0"
69,Biopsy,3,Biopsy provided by the Orthopedics department.,4950,"Main Building, Floor 2"
70,Dental Cleaning,5,Dental Cleaning provided by the Gastroenterology department.,1000,"Main Building, Floor 2"
71,Eye Test,20,Eye Test provided by the Pharmacy department.,250,"Main Building, Floor 0"
72,Hearing Test,3,Hearing Test provided by the Orthopedics department.,500,"Main Building, Floor 2"
73,Pregnancy Ultrasound,15,Pregnancy Ultrasound provided by the Nephrology department.,1550,"Main Building, Floor 3"
74,Chemotherapy Session,16,Chemotherapy Session provided by the Urology department.,15100,"Main Building, Floor 3"
75,Emergency Consultation,15,Emergency Consultation provided by the Nephrology department.,1050,"Main Building, Floor 3"
76,OPD Consultation,9,OPD Consultation provided by the Gynecology department.,500,"Main Building, Floor 2"
77,General Checkup,17,General Checkup provided by the Emergency department.,350,"Main Building, Floor 0"
78,Follow-up Consultation,12,Follow-up Consultation provided by the Ophthalmology department.,350,"Main Building, Floor 1"
79,Blood Test - CBC,4,Blood Test - CBC provided by the Neurology department.,350,"Main Building, Floor 4"
80,Blood Test - Lipid Profile,19,Blood Test - Lipid Profile provided by the Laboratory department.,650,"Diagnostics Building, Floor 0"
81,X-Ray,17,X-Ray provided by the Emergency department.,500,"Main Building, Floor 0"
82,CT Scan,2,CT Scan provided by the Cardiology department.,4500,"Main Building, Floor 3"
83,MRI Scan,13,MRI Scan provided by the Dentistry department.,7600,"Main Building, Floor 0"
84,Ultrasound,2,Ultrasound provided by the Cardiology department.,1150,"Main Building, Floor 3"
85,ECG,7,ECG provided by the Oncology department.,400,"Cancer Care Building, Floor 5"
86,Echocardiogram,7,Echocardiogram provided by the Oncology department.,2000,"Cancer Care Building, Floor 5"
87,Physiotherapy Session,9,Physiotherapy Session provided by the Gynecology department.,700,"Main Building, Floor 2"
88,Minor Procedure,11,Minor Procedure provided by the ENT department.,2450,"Main Building, Floor 1"
89,Vaccination,1,Vaccination provided by the General Medicine department.,850,"Main Building, Floor 1"
90,Health Package - Basic,14,Health Package - Basic provided by the Psychiatry department.,2500,"Main Building, Floor 4"
91,Health Package - Executive,5,Health Package - Executive provided by the Gastroenterology department.,6050,"Main Building, Floor 2"
92,Dialysis Session,18,Dialysis Session provided by the Radiology & Imaging department.,3000,"Diagnostics Building, Floor 0"
93,Endoscopy,17,Endoscopy provided by the Emergency department.,3600,"Main Building, Floor 0"
94,Biopsy,12,Biopsy provided by the Ophthalmology department.,4950,"Main Building, Floor 1"
95,Dental Cleaning,13,Dental Cleaning provided by the Dentistry department.,950,"Main Building, Floor 0"
96,Eye Test,14,Eye Test provided by the Psychiatry department.,250,"Main Building, Floor 4"
97,Hearing Test,15,Hearing Test provided by the Nephrology department.,450,"Main Building, Floor 3"
98,Pregnancy Ultrasound,11,Pregnancy Ultrasound provided by the ENT department.,1600,"Main Building, Floor 1"
99,Chemotherapy Session,14,Chemotherapy Session provided by the Psychiatry department.,15100,"Main Building, Floor 4"
100,Emergency Consultation,13,Emergency Consultation provided by the Dentistry department.,1050,"Main Building, Floor 0"
101,OPD Consultation,10,OPD Consultation provided by the Dermatology department.,450,"Main Building, Floor 1"
102,General Checkup,13,General Checkup provided by the Dentistry department.,350,"Main Building, Floor 0"
103,Follow-up Consultation,11,Follow-up Consultation provided by the ENT department.,300,"Main Building, Floor 1"
104,Blood Test - CBC,20,Blood Test - CBC provided by the Pharmacy department.,400,"Main Building, Floor 0"
105,Blood Test - Lipid Profile,12,Blood Test - Lipid Profile provided by the Ophthalmology department.,550,"Main Building, Floor 1"
106,X-Ray,14,X-Ray provided by the Psychiatry department.,450,"Main Building, Floor 4"
107,CT Scan,8,CT Scan provided by the Pediatrics department.,4550,"Main Building, Floor 1"
108,MRI Scan,19,MRI Scan provided by the Laboratory department.,7550,"Diagnostics Building, Floor 0"
109,Ultrasound,17,Ultrasound provided by the Emergency department.,1150,"Main Building, Floor 0"
110,ECG,13,ECG provided by the Dentistry department.,400,"Main Building, Floor 0"
111,Echocardiogram,11,Echocardiogram provided by the ENT department.,2000,"Main Building, Floor 1"
112,Physiotherapy Session,11,Physiotherapy Session provided by the ENT department.,700,"Main Building, Floor 1"
113,Minor Procedure,3,Minor Procedure provided by the Orthopedics department.,2600,"Main Building, Floor 2"
114,Vaccination,4,Vaccination provided by the Neurology department.,900,"Main Building, Floor 4"
115,Health Package - Basic,17,Health Package - Basic provided by the Emergency department.,2500,"Main Building, Floor 0"
116,Health Package - Executive,12,Health Package - Executive provided by the Ophthalmology department.,6000,"Main Building, Floor 1"
117,Dialysis Session,5,Dialysis Session provided by the Gastroenterology department.,3000,"Main Building, Floor 2"
118,Endoscopy,4,Endoscopy provided by the Neurology department.,3500,"Main Building, Floor 4"
119,Biopsy,9,Biopsy provided by the Gynecology department.,5000,"Main Building, Floor 2"
120,Dental Cleaning,6,Dental Cleaning provided by the Pulmonology department.,1100,"Main Building, Floor 3"
